Gene,m1,m2,m3,m4,m5,m6,m7,m8,m9
Ints4,179.5168896,155.5316716,177.2223893,174.1831378,131.6887709,109.2756432,183.7099674,145.4736098,175.6177762
Ints5,33.14157962,59.74064206,33.49935407,70.82171539,43.61121633,74.30743735,64.94796828,61.00506219,55.83224099
Ints6,334.1775945,302.8232546,336.074165,279.4586607,338.628268,354.0530838,303.3997947,292.511452,289.3125215
Ints7,161.1049009,115.3612398,138.3199136,86.13451871,77.81609189,87.42051453,117.834171,148.6020746,143.1335633
Ints8,102.1865372,146.2615719,148.0455325,117.7171756,163.3282808,202.524192,204.122186,228.3779251,243.631597
Ints9,66.28315923,74.16079704,64.83745949,58.38006268,58.14828844,65.5653859,76.0819057,62.56929455,50.75658272
Intu,45.10937226,42.23045387,64.83745949,37.32495811,27.36390044,23.31213721,69.58710888,53.96601655,91.36184889
Invs,82.85394904,77.25083025,94.01431626,57.42301247,98.33901722,83.0494888,88.14367124,95.4181742,95.42237551
Ip6k1,2031.76295,1913.760568,1974.300641,2537.140101,2059.98863,1876.627045,1686.791519,1633.840704,1467.880372
Ip6k2,549.597862,520.1555903,526.2640462,798.1798734,795.2633567,949.9695912,631.8509486,495.0795432,463.915166
Ip6k3,1.841198868,0,0,3.828200832,2.565365667,0,1.855656237,1.564232364,3.045394963
Ipcef1,528.424075,315.1833874,360.9285245,372.2925309,503.6667926,308.885818,379.4817004,259.6625724,484.2177991
Ipmk,264.2120375,234.8425239,283.1235731,311.9983678,328.3668053,367.166161,332.1624664,319.1034022,360.3717373
Ipo11,604.833828,595.3463984,532.7477922,427.8014429,424.9955788,435.6455641,513.0889494,473.9624062,509.5960905
Ipo13,146.37531,169.9518265,184.7867595,222.9926984,208.6497409,367.166161,302.4719666,279.9975931,291.3427848
Ipo4,317.6068047,311.0633431,310.1391812,370.3784305,304.4233924,335.1119724,288.5545448,288.6008711,296.4184431
Ipo5,595.6278337,645.8169408,689.4383193,664.1928443,606.2814192,747.4453992,788.6539006,682.7874268,732.9250544
Ipo7,792.6361125,835.3389777,860.1769626,660.3646435,936.3584683,1117.525577,1054.012742,906.4726549,1029.343497
Ipo8,519.2180807,577.8362102,543.5540354,486.1815056,489.1297204,528.8941129,528.8620275,585.0229041,592.8368861
