"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ecm2",30.8598467911376,0.431406150046715,0.458018182877719,0.941897431530336,0.346245155261604,0.580224042972488
"Ecscr",10.3625855787729,-0.335791440832137,0.687566169906766,-0.488376909058325,0.625282894483527,NA
"Ecsit",197.796714625178,-0.469612441815436,0.175546895399818,-2.67513954459785,0.0074698151087283,0.0507013133579075
"Ect2",5.92770520558772,0.275347919674988,0.874365277063679,0.314911773028853,0.752828642485044,NA
"Ect2l",3.20737122469192,0.87199940768252,1.31371809613815,0.663764479035404,0.506841063487161,NA
"Eda",31.9695544998115,-0.0170239962617401,0.36640574711934,-0.0464621431175187,0.962941906898299,0.983888819780284
"Eda2r",5.43505097809914,0.0725399055680971,0.777311485708933,0.0933215408517197,0.92564811963179,NA
"Edar",1.23484848663935,0.584466965090705,1.74893702528609,0.334184111057456,0.738240632998066,NA
"Edaradd",10.239821948158,-0.514890385918007,0.717005507078981,-0.718112177430304,0.472688122283717,NA
"Edc3",65.9309884058049,0.493366142450216,0.256313132601081,1.92485705840941,0.0542472433764556,0.189272763328776
"Edc4",553.890866521942,-0.0714689652440742,0.154956479035868,-0.461219599778924,0.644641061190574,0.812451231459912
"Edem1",153.591802791364,-0.0558311216828489,0.196535275262761,-0.284076848841535,0.776351488355777,0.8894981334764
"Edem2",133.06823131392,-0.351938671167052,0.22265881272966,-1.58061864631586,0.113965259757696,0.303770959235104
"Edem3",553.688019042405,-0.0770077497884339,0.159855737772043,-0.481732785208176,0.629995782894859,0.80137588287251
"Edf1",180.87120203981,-0.311461045663441,0.183570847930848,-1.69668032355971,0.0897571146529722,0.261524544000467
"Edil3",922.034450510938,0.176844433716416,0.195699731829945,0.903651896008151,0.366180013926721,0.598139597786899
"Edn1",8.02491546149295,-0.586616025768833,0.762771016434431,-0.769059145051114,0.441858200099848,NA
"Edn3",23.3284861407848,0.752207833603613,0.44214232178555,1.70127987424025,0.0888904453114957,NA
"Ednra",17.7712421081,0.0859961347403322,0.488020130387714,0.176214318602004,0.860125572186841,NA
"Ednrb",380.362421851267,-0.410186896717566,0.169788472376305,-2.41587011754521,0.0156976596716121,0.0838834309125008
"Eea1",484.575606871178,0.114447642354739,0.41549866219597,0.275446476168819,0.782973241633365,0.893695922832284
"Eed",72.1056812286212,0.278010403777925,0.254405650119045,1.09278392067092,0.274488683059426,0.506552636832025
"Eef1a1",647.0089546612,-0.427066050737899,0.143286307943519,-2.98050844401853,0.0028777030426167,0.0263687232077148
"Eef1a2",3056.00210731014,-0.0929138884026678,0.138781747694133,-0.66949645718142,0.503178839925064,0.711753452706589
"Eef1b2",297.259403133306,0.36573875950713,0.181785155845485,2.01192862973918,0.0442274609280294,0.164916206042175
"Eef1d",208.759805898863,-0.183484333173342,0.171062813094732,-1.07261379521294,0.283444432577261,0.516480131806116
"Eef1e1",93.3323212263893,-0.125083757322994,0.242493804304011,-0.515822487432208,0.605978395119211,0.786421230443193
"Eef1g",27.3990854221564,0.568406606474658,0.398948752243394,1.42476095808887,0.154226311513197,0.3646565009319
"Eef2",3235.33261450259,0.171321515215945,0.144856327826024,1.18269956022706,0.236928238564659,0.466470725416401
"Eef2k",236.461955688073,0.153683492948515,0.175035265772055,0.878014451948524,0.379935875968012,0.610157040288236
"Eefsec",99.1497061465401,-0.647875548280549,0.223989988365309,-2.89243083143483,0.0038227334444588,0.0323255198000037
"Eepd1",127.68301505718,-0.319420059579998,0.235535884919282,-1.35614180272133,0.175054054561357,0.392392200654803
"Efcab1",30.252432503831,-0.241203172701063,0.397270973765119,-0.607150254183108,0.543751202042431,0.741201644632647
"Efcab10",6.41559110795009,-0.00112383459700226,0.830796291407571,-0.0013527198046325,0.998920686081955,NA
"Efcab11",3.45841689936078,-1.10043621303995,1.19445805584763,-0.921284935584484,0.35690168401186,NA
"Efcab12",36.7928675250184,-0.0500633709215444,0.330096809845029,-0.15166269236303,0.879452983891907,0.945509223593733
"Efcab14",290.282325525822,0.413399836891803,0.176212816928007,2.34602592534855,0.0189747875895025,0.0947383432170831
"Efcab2",35.9429466577809,0.554888922918578,0.371654603020058,1.49302314140485,0.135431129442812,0.337265447993137
"Efcab4a",9.50725638839811,-0.671612032245708,0.64704063706165,-1.03797504171553,0.29928167482681,NA
"Efcab4b",4.93767657421825,0.386151266402378,0.850386457957787,0.454089152983133,0.649764660105287,NA
"Efcab5",26.9222992622798,0.291245231287846,0.409231944556829,0.71168743095861,0.476658352618268,0.69130302593664
"Efcab6",46.4278008620733,-0.578802780514275,0.47967575026114,-1.2066542454964,0.227565326662143,0.455614158643181
"Efcab7",22.2283825184141,-0.230182771391051,0.486379219515113,-0.473257824667196,0.636029247765914,NA
"Efcab9",4.44811031051768,-0.50403265146575,0.997123444270326,-0.505486712163899,0.613217029020641,NA
"Efcc1",24.2077947881393,0.575739382643099,0.429786520117179,1.33959385809989,0.180377421700097,NA
"Efemp1",39.2526998563292,0.218740103497657,0.377342514650714,0.579685815949293,0.562126510220425,0.754745647099943
"Efemp2",33.8274565756555,0.150437263491643,0.355669322305279,0.422969466459971,0.672317538539436,0.829929081640057
"Efha1",123.616583473423,-0.136593299128056,0.2044831094996,-0.667993065355467,0.504138019077471,0.71210377588021
"Efha2",361.375586781291,1.19048008803482,0.176336492975507,6.75118387547938,1.46643608688329e-11,2.98059800277606e-09
"Efhb",4.07643078606052,1.77573133744864,1.00698794447614,1.7634087351189,0.0778315776072784,NA
"Efhc1",10.3763863245563,0.0706865668445703,0.612425874462543,0.115420608096619,0.908111745222898,NA
"Efhc2",19.8741447331635,0.146183195103496,0.484626223735979,0.301641116274252,0.762925660784985,NA
"Efhd1",100.753856799215,-0.125551658304781,0.249803953787039,-0.502600765125663,0.615244991232141,0.7922847318263
"Efhd2",246.50880992181,0.523798698756243,0.182608536173178,2.8684239506717,0.00412522357483292,0.0340338556037322
"Efna1",25.0446076843355,-0.302183922017496,0.444110717495125,-0.680424745707275,0.496235556793484,NA
"Efna2",26.536459942958,-0.314508185745925,0.393633507667748,-0.798987331158277,0.424297758011557,0.64777645337797
"Efna3",181.094439486021,-0.625268633990169,0.215209626286338,-2.90539342862965,0.00366791732866121,0.031380405389867
"Efna4",2.46838324301049,-0.00108888531703653,1.20955142174341,-0.000900238962529636,0.999281713327785,NA
"Efna5",19.0117564237304,0.266228285692335,0.508626424874308,0.523425981570119,0.600677847641093,NA
"Efnb1",45.1846827640503,-0.24354736849854,0.335192242282084,-0.726590110917842,0.467477087999713,0.684219358072253
"Efnb2",37.900489741658,1.69722006378582,0.371943898376104,4.56310769230474,5.04019443606431e-06,0.000191647393199874
"Efnb3",544.052067057068,0.0859717546739743,0.139287175677998,0.617226634508855,0.537085250169392,0.735639443929471
"Efr3a",1176.60624402718,-0.0929017456738897,0.138670308108787,-0.669946918997311,0.502891628566129,0.711443370759397
"Efr3b",744.791746896435,0.450148203691489,0.175244690416122,2.56868383642668,0.0102085548613627,0.0627040850522932
"Efs",55.0554557890911,0.0869215988422712,0.300681938750879,0.289081543119514,0.772518977366164,0.887654399010829
"Eftud1",91.2508685626683,0.711135962909164,0.258255826836018,2.75361052496487,0.00589418645899178,0.0431224544666682
"Eftud2",379.479083101639,0.407197353355381,0.149313773847967,2.7271251865216,0.00638887952247807,0.0453435451541177
"Egf",12.3495462160729,-0.0349085904129332,0.55841315918174,-0.0625139107826287,0.9501535844046,NA
"Egfem1",172.246275833271,-0.519683189237365,0.20832847622973,-2.49453746622855,0.012612141108274,0.0729767730069331
"Egfl6",26.2989962615971,-0.267964433934023,0.397301474541854,-0.674461211710892,0.500018137898591,0.709763059863015
"Egfl7",136.661724453599,-0.688825905299991,0.206038312003886,-3.34319330517036,0.000828201857726464,0.0108623154775749
"Egfl8",5.92575218072487,-0.0837072150325552,0.776272838804935,-0.107832209048331,0.914128792722638,NA
"Egflam",15.3072713328229,0.294267435998739,0.523155606164458,0.562485487169249,0.57378528887279,NA
"Egfr",119.012909390027,-0.0660325934233887,0.203147381527779,-0.325047721150957,0.745144954713672,0.872473877466819
"Egln1",251.330148645757,0.756084135654611,0.166342082210972,4.54535692715248,5.48422394383672e-06,0.000205732011638089
"Egln2",209.373861009031,0.197620317344984,0.205260981607935,0.962775856360534,0.335660019436502,0.570611824403993
"Egln3",16.7861069658222,-0.486660065809659,0.508172203163607,-0.9576676228648,0.33823038804708,NA
"Egr1",260.25048989938,0.67380434180827,0.265697934147023,2.53597885121463,0.0112133505819736,0.0670342492812209
"Egr2",8.15083771854241,-0.841525280897796,0.712025901811464,-1.18187453399781,0.23725548794348,NA
"Egr3",127.875542360955,0.051265163881872,0.236508567596899,0.21675816822521,0.828396813784435,0.918532828932374
"Egr4",25.9175222481456,0.512866446518689,0.457296288337093,1.1215189355323,0.262067036002203,NA
"Ehbp1",368.052980446703,0.225641861400931,0.168210124516468,1.34142853796437,0.179781357185246,0.397581759045275
"Ehbp1l1",62.2323032434975,0.530874241215137,0.287772359834571,1.84477147673361,0.0650707882867743,0.213381623383068
"Ehd1",351.88267592117,0.691965612118385,0.181110820526058,3.82067515407687,0.000133086849889862,0.0026736112303981
"Ehd2",25.9165574634842,0.0385192203914104,0.437474345623041,0.0880490953967876,0.929837655151305,NA
"Ehd3",1356.40168051982,-0.0173694170776481,0.161389996649437,-0.107623876561427,0.914294056240547,0.961748324882584
"Ehd4",38.3858701068483,0.129904701557264,0.363988846447086,0.356891983985966,0.721172670882363,0.858578477327398
"Ehhadh",20.1336741358377,0.0396929060840465,0.456852630529679,0.086883391780028,0.930764201032843,NA
"Ehmt1",240.382333318349,0.417645824689352,0.172849290886086,2.41624262702123,0.0156816080969467,0.0838377316670336
"Ehmt2",777.160981697459,-0.137582247023591,0.139686627261667,-0.984934991420944,0.324656004201776,0.559477334819123
"Ei24",327.759877599691,0.280694560249475,0.171898743949471,1.63290640641321,0.102488682564423,0.283613250967432
"Eid1",1686.08485858621,-0.306709565809294,0.145308231178671,-2.11075149233744,0.0347936775044733,0.141336671810504
"Eid2",152.710428790755,-0.433752662084666,0.196780796055626,-2.20424284675651,0.0275072699706672,0.120265281491331
"Eid2b",97.0234311772946,0.587793779733637,0.250191472940277,2.3493757514028,0.0188049190496471,0.0942402911320629
"Eid3",6.79109562774303,0.2614488577416,0.722586241922047,0.361823741683979,0.717483749217647,NA
"Eif1",32.4663994924112,-0.403103354570668,0.360533535907598,-1.11807450465296,0.263535174271439,0.496596030809663
"Eif1a",194.471128474591,-0.0228012175165472,0.201289372090916,-0.113275814215609,0.90981189126839,0.95934783478683
"Eif1ad",120.745295824499,0.172862026525102,0.215945143607522,0.800490456221035,0.423426690870044,0.64712803922473
"Eif1ax",330.634349051715,-0.0474485864268,0.161193396173071,-0.294358128516972,0.768484258852297,0.884928464123386
"Eif1b",435.186014213115,-0.210599969359534,0.174803616754634,-1.20478038881281,0.228288092701639,0.456228465983836
"Eif2a",294.386634157502,-0.159968125687312,0.1787806848706,-0.894772977310697,0.370908458458311,0.602037890121636
"Eif2ak1",309.617649772767,-0.00424189696175412,0.169499677565704,-0.0250259883834281,0.980034234365266,0.989862911634379
